continent,location,population,highest_infected_count,highest_death_count,pct_population_infected,pct_infected_dead
"North America","United States","331002647,00",32346971,576232,9.772,1.781
Asia,India,"1380004385,00",19164969,211853,1.389,1.105
"South America",Brazil,"212559409,00",14659011,403781,6.896,2.754
Europe,France,"68147687,00",5677835,104675,8.332,1.844
Asia,Turkey,"84339067,00",4820591,40131,5.716,0.832
Europe,Russia,"145934460,00",4750755,108290,3.255,2.279
Europe,"United Kingdom","67886004,00",4432246,127775,6.529,2.883
Europe,Italy,"60461828,00",4022653,120807,6.653,3.003
Europe,Spain,"46754783,00",3524077,78216,7.537,2.219
Europe,Germany,"83783945,00",3405365,83097,4.064,2.44
"South America",Argentina,"45195777,00",2977363,63865,6.588,2.145
"South America",Colombia,"50882884,00",2859724,73720,5.62,2.578
Europe,Poland,"37846605,00",2792142,67502,7.378,2.418
Asia,Iran,"83992953,00",2499077,71758,2.975,2.871
"North America",Mexico,"128932753,00",2344755,216907,1.819,9.251
Europe,Ukraine,"43733759,00",2124070,45923,4.857,2.162
"South America",Peru,"32971846,00",1799445,61477,5.458,3.416
Asia,Indonesia,"273523621,00",1668368,45521,0.61,2.728
Europe,Czechia,"10708982,00",1630758,29267,15.228,1.795
Africa,"South Africa","59308690,00",1581210,54350,2.666,3.437
Europe,Netherlands,"17134873,00",1522973,17398,8.888,1.142
"North America",Canada,"37742157,00",1228367,24220,3.255,1.972
"South America",Chile,"19116209,00",1198245,26353,6.268,2.199
Asia,Iraq,"40222503,00",1065199,15465,2.648,1.452
Europe,Romania,"19237682,00",1055265,28109,5.485,2.664
Asia,Philippines,"109581085,00",1037460,17234,0.947,1.661
Europe,Belgium,"11589616,00",990229,24230,8.544,2.447
Europe,Sweden,"10099270,00",973604,14048,9.64,1.443
Asia,Israel,"8655541,00",838481,6363,9.687,0.759
Europe,Portugal,"10196707,00",836493,16974,8.204,2.029
Asia,Pakistan,"220892331,00",825519,17957,0.374,2.175
Europe,Hungary,"9660350,00",779348,27540,8.067,3.534
Asia,Bangladesh,"164689383,00",759132,11450,0.461,1.508
Asia,Jordan,"10203140,00",711373,8836,6.972,1.242
Europe,Serbia,"6804596,00",689557,6362,10.134,0.923
Europe,Switzerland,"8654618,00",659974,10632,7.626,1.611
Europe,Austria,"9006400,00",618870,10205,6.871,1.649
Asia,Japan,"126476458,00",593264,10199,0.469,1.719
Asia,Lebanon,"6825442,00",526578,7278,7.715,1.382
Asia,"United Arab Emirates","9890400,00",520236,1587,5.26,0.305
Africa,Morocco,"36910558,00",511249,9023,1.385,1.765
Asia,"Saudi Arabia","34813867,00",417363,6957,1.199,1.667
Asia,Malaysia,"32365998,00",408713,1506,1.263,0.368
Europe,Bulgaria,"6948445,00",404380,16399,5.82,4.055
Europe,Slovakia,"5459643,00",382211,11684,7.001,3.057
"South America",Ecuador,"17643060,00",381862,18631,2.164,4.879
Asia,Kazakhstan,"18776707,00",375539,3334,2,0.888
"North America",Panama,"4314768,00",364576,6232,8.449,1.709
Europe,Belarus,"9449321,00",358738,2542,3.796,0.709
Europe,Greece,"10423056,00",345033,10381,3.31,3.009
Europe,Croatia,"4105268,00",332183,7081,8.092,2.132
Asia,Nepal,"29136808,00",323187,3279,1.109,1.015
Asia,Azerbaijan,"10139175,00",319109,4517,3.147,1.416
Asia,Georgia,"3989175,00",310310,4110,7.779,1.324
Africa,Tunisia,"11818618,00",309119,10722,2.616,3.469
"South America",Bolivia,"11673029,00",303732,12951,2.602,4.264
Asia,Palestine,"5101416,00",296462,3249,5.811,1.096
"South America",Paraguay,"7132530,00",279077,6385,3.913,2.288
Asia,Kuwait,"4270563,00",273991,1563,6.416,0.57
"North America","Dominican Republic","10847904,00",266561,3480,2.457,1.306
Africa,Ethiopia,"114963583,00",257442,3688,0.224,1.433
Europe,Denmark,"5792203,00",251249,2484,4.338,0.989
"North America","Costa Rica","5094114,00",250991,3231,4.927,1.287
Europe,Moldova,"4033963,00",250837,5812,6.218,2.317
Europe,Ireland,"4937796,00",248870,4903,5.04,1.97
Europe,Lithuania,"2722291,00",247269,3923,9.083,1.587
Europe,Slovenia,"2078932,00",240292,4250,11.558,1.769
"North America",Guatemala,"17915567,00",227671,7524,1.271,3.305
Africa,Egypt,"102334403,00",227552,13339,0.222,5.862
Asia,Armenia,"2963234,00",216064,4108,7.291,1.901
"North America",Honduras,"9904608,00",212333,5281,2.144,2.487
Asia,Qatar,"2881060,00",205652,458,7.138,0.223
Europe,"Bosnia and Herzegovina","3280815,00",198461,8551,6.049,4.309
"South America",Uruguay,"3473727,00",198428,2616,5.712,1.318
"South America",Venezuela,"28435943,00",197683,2136,0.695,1.081
Asia,Oman,"5106622,00",193253,2010,3.784,1.04
Africa,Libya,"6871287,00",177508,3029,2.583,1.706
Asia,Bahrain,"1701583,00",176934,646,10.398,0.365
Africa,Nigeria,"206139587,00",165110,2063,0.08,1.249
Africa,Kenya,"53771300,00",159318,2724,0.296,1.71
Europe,"North Macedonia","2083380,00",152367,4855,7.313,3.186
Asia,Myanmar,"54409794,00",142817,3209,0.262,2.247
Europe,Albania,"2877800,00",131085,2394,4.555,1.826
Asia,"South Korea","51269183,00",122634,1831,0.239,1.493
Africa,Algeria,"43851043,00",122108,3253,0.278,2.664
Europe,Estonia,"1326539,00",122019,1161,9.198,0.951
